"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TGM2",68.2066086594197,1.26970891750222,0.377166610445649,3.36644040680581,0.000761450327642827,0.0166641177394577
"TMEM255A",40.0310833041016,2.75255284487481,0.574327767052613,4.79265151848848,1.64591378390174e-06,8.90729812464469e-05
"TMSB4Y",2.74983395299795,1.52750019308028,0.422394307121404,3.61628972580174,0.000298855870801199,0.0079598765106037
"TNFSF10",7798.47445290341,1.09984847333576,0.132422809696685,8.30558176385905,9.93315416286763e-17,1.87456447791553e-14
"TOR1B",660.801874311885,1.28128675230037,0.134950693633919,9.49448067140812,2.21311748991336e-21,5.68205048573103e-19
"TRIM14",1160.59296139379,1.02112973104078,0.109833837803767,9.29704134408168,1.44408078557345e-20,3.50387953246832e-18
"TRIM22",5365.40379335235,1.46191432774098,0.103152727040369,14.1723284462354,1.35917983579056e-45,1.3641223079207e-42
"TRIM5",693.627534906314,1.09830774413653,0.120205558609672,9.13691310817766,6.42603707205555e-20,1.47798852657278e-17
"TRIM6",14.8966882996082,2.02777889146712,0.497373711616411,4.07697239340829,4.56259074400166e-05,0.0016790117482891
"TYMP",17870.8311981676,1.05646847000825,0.0927947924976686,11.3849973858694,4.96697345376913e-30,2.03094025665227e-27
"USP18",620.621768071391,4.12657942308673,0.331705591440366,12.4404879796204,1.57538520482083e-35,9.15381719011679e-33
"USP30-AS1",32.9073623183222,1.06559310985794,0.208344527796107,5.11457210386042,3.14452958841425e-07,1.97247765091439e-05
"USP41",110.79141619328,4.11572653981636,0.322064120894806,12.779214674337,2.14221616266987e-37,1.31389257977085e-34
"XAF1",649.244178418164,1.91258797128375,0.141455227044969,13.5208009717148,1.17885243465025e-41,9.29609348467052e-39
"ZBP1",196.776133187126,2.20024699054233,0.21747573937253,10.1172066221758,4.63453823936309e-24,1.31310266302823e-21
"ZCCHC2",82.2490606657709,1.42558485172493,0.273997909487005,5.2029041184803,1.9619810791406e-07,1.28547603048737e-05
"ZDHHC4P1",2.31564613257712,4.19888179501737,1.42626963113883,2.94396073739906,0.0032404110502821,0.0495830048442333
"ZMIZ1-AS1",3.69073364659861,2.40501981077537,0.709337625290207,3.39051493256321,0.000697614539482353,0.0155432179937138
"ZNF682",9.44351376302189,1.17384086438775,0.323760434378232,3.62564643404332,0.0002882395052197,0.00775465740301953
